Date,Open,High,Low,Close,Adj Close,Volume,Ticker,MA_50,MA_200,Bollinger_Band_Middle,Bollinger_Band_Upper,Bollinger_Band_Lower,RSI,Daily_Return,Volatility
2023-01-03,130.27999877929688,130.89999389648438,124.16999816894531,125.06999969482422,124.21629333496094,112117500.0,AAPL,,,,,,,,
2023-01-04,126.88999938964844,128.66000366210938,125.08000183105469,126.36000061035156,125.49749755859375,89113600.0,AAPL,,,,,,,0.010314231379827232,
2023-01-05,127.12999725341797,127.7699966430664,124.76000213623047,125.0199966430664,124.16664123535156,80962700.0,AAPL,,,,,,,-0.010604653061194957,
2023-01-06,126.01000213623047,130.2899932861328,124.88999938964844,129.6199951171875,128.73524475097656,87754700.0,AAPL,,,,,,,0.036794101724815675,
2023-01-09,130.47000122070312,133.41000366210938,129.88999938964844,130.14999389648438,129.26161193847656,70790800.0,AAPL,,,,,,,0.004088865910060413,
2023-01-10,130.25999450683594,131.25999450683594,128.1199951171875,130.72999572753906,129.83767700195312,63896200.0,AAPL,,,,,,,0.004456410743407302,
2023-01-11,131.25,133.50999450683594,130.4600067138672,133.49000549316406,132.57882690429688,69458900.0,AAPL,,,,,,,0.02111229140844828,
2023-01-12,133.8800048828125,134.25999450683594,131.44000244140625,133.41000366210938,132.49937438964844,71379600.0,AAPL,,,,,,,-0.0005993095195339082,
2023-01-13,132.02999877929688,134.9199981689453,131.66000366210938,134.75999450683594,133.8401641845703,57809700.0,AAPL,,,,,,,0.010119112567793076,
2023-01-17,134.8300018310547,137.2899932861328,134.1300048828125,135.94000244140625,135.01210021972656,63646600.0,AAPL,,,,,,,0.008756366745847899,
2023-01-18,136.82000732421875,138.61000061035156,135.02999877929688,135.2100067138672,134.28709411621094,69672800.0,AAPL,,,,,,,-0.005369984658148752,
2023-01-19,134.0800018310547,136.25,133.77000427246094,135.27000427246094,134.34669494628906,58280400.0,AAPL,,,,,,,0.00044373608175840573,
2023-01-20,135.27999877929688,138.02000427246094,134.22000122070312,137.8699951171875,136.92893981933594,80223600.0,AAPL,,,,,,,0.01922074933545259,
2023-01-23,138.1199951171875,143.32000732421875,137.89999389648438,141.11000061035156,140.1468048095703,81760300.0,AAPL,,,,,,89.42968974176718,0.02350043960188808,
